,Beijing,Tianjin,Hebei,Shanxi,Neimenggu,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/23/20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/24/20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/20,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/20,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/27/20,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/28/20,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,125,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01/29/20,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,162,0,0,0,1,0,1,0,0,0,0,0,0,0,0
01/30/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,204,0,0,0,1,0,1,0,0,0,0,0,0,0,0
01/31/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,249,0,0,0,1,1,1,0,0,0,0,0,0,0,0
02/01/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,294,0,0,0,1,1,1,0,0,0,0,0,0,0,0
02/02/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,350,0,0,0,1,2,1,0,0,0,0,0,0,0,0
02/03/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,414,0,0,0,1,2,1,0,0,0,0,0,0,0,0
02/04/20,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,479,0,0,0,1,2,1,0,0,0,0,0,0,0,0
02/05/20,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,2,549,0,0,0,1,2,1,0,0,0,0,0,0,0,0
02/06/20,1,0,1,0,0,0,1,3,1,0,0,0,0,0,0,3,618,0,0,0,2,2,1,0,0,0,0,0,0,0,0
02/07/20,2,1,1,0,0,0,1,5,1,0,0,0,0,0,0,4,699,0,1,0,2,2,1,1,0,0,0,1,0,0,0
02/08/20,2,1,2,0,0,0,1,6,1,0,0,1,0,0,1,6,780,1,1,1,2,2,1,1,0,0,0,1,0,0,0
02/09/20,2,1,2,0,0,0,1,7,1,0,0,3,0,1,1,6,871,1,1,1,3,2,1,1,0,0,0,2,0,0,0
02/10/20,3,2,2,0,0,0,1,8,1,0,0,4,0,1,1,7,974,1,1,1,3,2,1,1,0,0,0,2,0,0,0
02/11/20,3,2,2,0,0,0,1,8,1,0,0,4,0,1,1,8,1068,2,1,1,3,3,1,1,0,0,0,2,0,0,0
02/12/20,3,2,3,0,0,0,1,9,1,0,0,5,0,1,2,10,1202,2,2,2,4,3,1,1,0,0,0,2,0,0,1
02/13/20,3,3,3,0,0,1,1,11,1,0,0,6,0,1,2,11,1318,2,2,2,4,4,1,1,0,0,0,2,0,0,1
02/14/20,4,3,3,0,0,1,1,11,1,0,0,6,0,1,2,13,1457,2,2,2,4,5,1,1,0,0,0,2,0,0,1
02/15/20,4,3,3,0,0,1,1,11,1,0,0,6,0,1,2,13,1596,3,2,2,4,5,3,1,0,0,0,2,0,0,1
02/16/20,4,3,3,0,0,1,1,11,1,0,0,6,0,1,2,16,1696,3,4,2,4,5,3,1,0,0,0,2,0,0,1
02/17/20,4,3,4,0,0,1,1,11,1,0,0,6,0,1,2,19,1789,4,4,2,4,5,3,1,0,0,0,2,0,0,1
